"id","image","relation"
10,"http://www.museumofplay.org/online-collections/images/Z004/Z00464/Z0046447.jpg","companies"
10,"http://gamesdbase.com/Media/SYSTEM/Nintendo_SNES/Box/big/Mario-s_Early_Years-_Fun_With_Letters_-_1994_-_Software_Toolworks,_Inc.,_The.jpg","companies"
10,"http://www.museumofplay.org/online-collections/images/Z004/Z00464/Z0046435.jpg","companies"
15,"http://static.giantbomb.com/uploads/scale_medium/0/5150/1680474-thq_logo_rgb.jpg","companies"
15,"http://arc.vg/legacy/blog/features/thq/THQ-Logo.jpg","companies"
15,"https://upload.wikimedia.org/wikipedia/commons/8/8c/THQ_2000_logo.png","companies"
15,"http://fronttowardsgamer.com/wp-content/uploads/2012/12/THQ-Logo-Splash-Image.jpg","companies"
15,"http://www.g33kwatch.com/wp-content/uploads/2013/01/thq-sale.png","companies"
15,"http://i.ytimg.com/vi/JIYX1wt-k84/maxresdefault.jpg","companies"
15,"http://www.nag.co.za/wp-content/uploads/2012/11/Humble-THQ-Bundle-image-1.jpg","companies"
15,"http://img.gawkerassets.com/img/18cexvc20n658jpg/original.jpg","companies"
15,"http://www.games73.com/media.games73.com/files/2013/01/thq-rip.jpg","companies"
15,"http://www.technobuffalo.com/wp-content/uploads/2013/01/thq-logo-shattered-broken-001.jpg","companies"
15,"http://www.technologytell.com/gaming/files/2012/12/thq.jpg","companies"
16,"http://static.giantbomb.com/uploads/scale_medium/0/5327/252573-yukes.jpg","companies"
16,"http://2.bp.blogspot.com/-2CamKR5kOI4/VUAM2tYUdCI/AAAAAAAABrA/Q2zCPHMz-G0/s1600/cenaWWE.jpg","companies"
16,"http://nukethefridge.com/wp-content/uploads/2013/06/065.jpg","companies"
16,"http://www.xblafans.com/wp-content/uploads/2012/04/RealSteelhead.png","companies"
16,"http://nukethefridge.com/wp-content/uploads/2013/06/066.jpg","companies"
16,"http://image.gamespotcdn.net/gamespot/images/2010/004/6244935_screen001.jpg","companies"
16,"http://media.gamerhub.tv/editorial/2013/05/pacific-rim-27.jpg","companies"
16,"http://game.watch.impress.co.jp/img/gmw/docs/478/107/rs04.jpg","companies"
16,"http://hbvideogames.com/system/video_games/avatars/000/002/589/original/WWE_20Day_20of_20Reckoning.jpg?1418726627","companies"
16,"http://hbvideogames.com/system/video_games/avatars/000/002/133/original/WWF_20SmackDown!_20Just_20Bring_20It.jpg?1418726409","companies"
