"game","company","relation"
3659,382,"publisher"
3659,2102,"developer"
3689,340,"publisher"
3689,271,"developer"
3717,176,"publisher"
3717,282,"developer"
3726,865,"publisher"
3726,2567,"developer"
3792,1,"publisher"
3792,377,"developer"
3792,68,"developer"
3812,322,"publisher"
3812,548,"publisher"
3812,2604,"developer"
3877,25,"publisher"
3877,2630,"developer"
3929,6983,"publisher"
3929,548,"publisher"
3929,1819,"developer"
3964,778,"publisher"
3964,2670,"developer"
3987,2014,"publisher"
3987,2014,"developer"
4009,1366,"publisher"
4009,1058,"developer"
4019,200,"publisher"
4019,1514,"developer"
4044,364,"publisher"
4044,1792,"developer"
4047,2707,"publisher"
4047,2708,"developer"
4064,299,"publisher"
4098,705,"publisher"
4098,705,"developer"
4108,644,"publisher"
4108,2695,"developer"
4133,2744,"publisher"
4133,2745,"developer"
4159,132,"publisher"
4159,1213,"publisher"
4159,2358,"developer"
4159,9056,"developer"
4175,2766,"publisher"
4175,41,"publisher"
4175,766,"developer"
4203,633,"publisher"
4203,2465,"developer"
4209,1030,"publisher"
4209,78,"publisher"
4209,2249,"developer"
4209,7137,"developer"
4272,7421,"publisher"
4272,2810,"developer"
4337,959,"publisher"
4337,2835,"developer"
4385,805,"publisher"
4385,491,"publisher"
4385,805,"developer"
4385,491,"developer"
4441,682,"publisher"
4441,2879,"developer"
4441,484,"developer"
4449,1703,"publisher"
4449,2885,"developer"
4449,7086,"developer"
4531,1381,"publisher"
4531,1046,"developer"
4533,6490,"publisher"
4533,6490,"developer"
4574,2273,"publisher"
4574,2933,"publisher"
4574,2933,"developer"
4577,662,"publisher"
4577,800,"publisher"
4577,924,"developer"
4577,1698,"developer"
4623,658,"publisher"
4623,682,"developer"
4623,6582,"developer"
4646,185,"publisher"
4646,2793,"developer"
4689,2967,"publisher"
4689,1097,"publisher"
4689,2604,"developer"
4689,6396,"developer"
4704,2014,"publisher"
4704,2014,"developer"
4710,302,"publisher"
4710,302,"developer"
4864,3024,"publisher"
4864,165,"developer"
4884,3031,"publisher"
4884,323,"publisher"
4884,1690,"developer"
4899,924,"publisher"
4899,1995,"developer"
4920,165,"publisher"
4920,338,"publisher"
4920,338,"developer"
4944,66,"publisher"
4944,3047,"developer"
4961,753,"publisher"
4961,1679,"developer"
5028,48,"publisher"
5028,3085,"developer"
5028,48,"developer"
5077,88,"publisher"
5077,1213,"publisher"
5077,5,"developer"
5077,1396,"developer"
5094,282,"publisher"
5094,282,"developer"
5099,185,"publisher"
5099,135,"publisher"
5099,135,"developer"
5099,213,"developer"
5110,1422,"publisher"
5110,864,"publisher"
5110,107,"developer"
5110,106,"developer"
